City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
17,Lynn Haven,US,87.91,broken clouds,30.2455,-85.6483,Wingate by Wyndham Panama City Area Lynn Haven
19,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
21,Kapaa,US,87.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,San Patricio,US,90.01,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
38,Natal,BR,83.05,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
43,Butaritari,KI,82.54,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
45,Touros,BR,83.3,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
50,North Platte,US,84.09,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
56,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
58,Hirara,JP,82.35,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
68,Oussouye,SN,82.45,overcast clouds,12.485,-16.5469,Auberge du Routard
70,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
83,Victoria,HK,82.38,moderate rain,22.2855,114.1577,Mini Hotel Central
87,Tautira,PF,80.62,scattered clouds,-17.7333,-149.15,Pension Oaoa
91,Acarau,BR,82.02,few clouds,-2.8856,-40.12,castelo pizzaria
109,Sabang,ID,82.45,overcast clouds,5.8933,95.3214,Hotel Citra
112,Cabo Rojo,PR,90.25,scattered clouds,18.0866,-67.1457,Hotel Perichi's
113,Sao Filipe,CV,80.42,clear sky,14.8961,-24.4956,Hotel Xaguate
115,Sur,OM,83.5,clear sky,22.5667,59.5289,Sur Plaza Hotel
116,Road Town,VG,86.04,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
120,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
122,Kedougou,SN,83.23,broken clouds,12.5579,-12.1743,Relais de Kédougou
125,Bilma,NE,84.81,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
129,Hithadhoo,MV,82.53,overcast clouds,-0.6,73.0833,Scoop Guest House
131,Diplo,PK,84.78,clear sky,24.4667,69.584,Mukhi Ahmed Ali Residency
135,Cururupu,BR,83.97,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
140,Boffa,GN,81.5,light rain,10.1667,-14.0333,Hôtel Niara Belly
144,Ugoofaaru,MV,82.33,scattered clouds,5.6667,73.0,Ungoofaaru Inn
149,Lighthouse Point,US,90.05,overcast clouds,26.2756,-80.0873,Residence Inn by Marriott Fort Lauderdale Pompano Beach/Oceanfront
151,Tual,ID,82.09,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
156,Paranaiba,BR,95.68,overcast clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
181,Upata,VE,82.47,overcast clouds,8.0086,-62.3989,Posada Villa Nela
182,Ananindeua,BR,84.11,broken clouds,-1.3656,-48.3722,Mayra Alves
187,Yerraguntla,IN,80.94,overcast clouds,14.6372,78.5395,M Y R Lodge
190,Waycross,US,81.07,broken clouds,31.2136,-82.354,Super 8 by Wyndham Waycross GA
192,Berbera,SO,87.98,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
195,Longview,US,92.98,clear sky,32.5007,-94.7405,Homewood Suites by Hilton Longview
196,Ahuimanu,US,83.91,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
200,Careiro Da Varzea,BR,86.61,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
202,Laguna De Perlas,NI,81.93,overcast clouds,12.3429,-83.6712,Hotel Best View
203,Atar,MR,95.07,overcast clouds,20.5169,-13.0499,Oumou Elghoura
207,Mucurapo,TT,87.13,scattered clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
212,Unai,BR,92.21,overcast clouds,-16.3575,-46.9061,Hotel Regente
213,Macaubas,BR,94.75,broken clouds,-13.0194,-42.6986,Macaúbas Palace Hotel
214,Plaridel,PH,81.1,overcast clouds,14.8872,120.8572,St. Agatha Resort
217,Cartagena,CO,89.22,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
227,Lagunas,PE,87.21,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
228,Pierre,US,82.06,clear sky,44.3683,-100.351,Ramkota Hotel
240,Adrar,MR,92.71,overcast clouds,20.5022,-10.0711,
241,Marsh Harbour,BS,82.42,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
247,Kalmunai,LK,80.71,overcast clouds,7.4167,81.8167,VS Villa
256,Acaponeta,MX,95.34,clear sky,22.4964,-105.3594,Hotel Casa Blanca
258,Tucurui,BR,96.53,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
