City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Constitucion,CL,-35.3333,-72.4167,59.52,57,37,5.46,scattered clouds
1,Hasaki,JP,35.7333,140.8333,70.29,89,56,9.19,broken clouds
2,Saskylakh,RU,71.9167,114.0833,18.48,96,100,5.53,overcast clouds
3,Kodiak,US,57.79,-152.4072,45.84,76,18,11.79,few clouds
4,Hermanus,ZA,-34.4187,19.2345,62.8,83,82,11.18,light rain
5,Albany,US,42.6001,-73.9662,75.81,70,74,3.13,broken clouds
6,Iqaluit,CA,63.7506,-68.5145,31.73,100,90,5.75,mist
7,Mataura,NZ,-46.1927,168.8643,50.49,100,100,2.19,overcast clouds
8,Bengkulu,ID,-3.8004,102.2655,75.67,90,98,5.44,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,47.82,70,75,29.93,light rain
10,Ribeira Grande,PT,38.5167,-28.7,70.2,60,20,8.05,few clouds
11,Rikitea,PF,-23.1203,-134.9692,74.16,75,10,9.73,clear sky
12,Anchorage,US,61.2181,-149.9003,43.75,89,90,4.0,light rain
13,Nador,MA,35.174,-2.9287,68.25,83,0,3.44,clear sky
14,Kalmar,SE,56.6616,16.3616,49.14,99,90,3.44,overcast clouds
15,Labuhan,ID,-6.8844,112.2051,77.81,75,70,9.17,broken clouds
16,Perth,AU,-31.9333,115.8333,49.78,91,0,0.0,clear sky
17,Lynn Haven,US,30.2455,-85.6483,87.91,64,75,3.0,broken clouds
18,Narsaq,GL,60.9167,-46.05,41.22,53,1,3.44,clear sky
19,Vaini,TO,-21.2,-175.2,80.76,83,75,4.61,broken clouds
20,Bethel,US,41.3712,-73.414,74.64,74,75,6.91,broken clouds
21,Kapaa,US,22.0752,-159.319,87.78,68,75,5.01,broken clouds
22,San Patricio,US,28.017,-97.5169,90.01,39,0,9.82,clear sky
23,Verkhnevilyuysk,RU,63.4453,120.3167,33.51,95,100,8.43,overcast clouds
24,Cap Malheureux,MU,-19.9842,57.6142,69.48,74,0,1.99,clear sky
25,Navahrudak,BY,53.6,25.8333,37.62,67,0,5.32,clear sky
26,Beringovskiy,RU,63.05,179.3167,31.53,97,100,11.56,snow
27,Mackay,AU,-21.15,149.2,67.05,77,1,4.61,clear sky
28,Bolshoye Nagatkino,RU,54.5196,47.9679,41.34,63,4,6.82,clear sky
29,Busselton,AU,-33.65,115.3333,49.05,81,72,9.04,broken clouds
30,Bluff,NZ,-46.6,168.3333,50.81,92,100,8.72,overcast clouds
31,Lisakovsk,KZ,52.5369,62.4936,42.71,58,0,4.88,clear sky
32,Castro,BR,-24.7911,-50.0119,66.4,83,99,4.32,overcast clouds
33,Jamestown,US,42.097,-79.2353,77.29,60,40,5.75,scattered clouds
34,Tasiilaq,GL,65.6145,-37.6368,37.56,68,100,12.08,light rain
35,Souillac,MU,-20.5167,57.5167,69.37,76,48,9.73,scattered clouds
36,Yulara,AU,-25.2406,130.9889,69.64,37,11,5.75,few clouds
37,East London,ZA,-33.0153,27.9116,64.62,83,3,12.48,clear sky
38,Natal,BR,-5.795,-35.2094,83.05,74,40,16.11,scattered clouds
39,Nizhniy Baskunchak,RU,48.2198,46.8311,43.9,35,8,7.74,clear sky
40,Chunoyar,RU,57.4467,97.3217,37.98,97,100,11.61,overcast clouds
41,Paamiut,GL,61.994,-49.6678,35.82,61,0,10.22,clear sky
42,Moyale,KE,3.5167,39.0584,75.61,47,64,6.06,broken clouds
43,Butaritari,KI,3.0707,172.7902,82.54,70,37,12.68,scattered clouds
