City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2021-10-06 00:21:26,22.0752,-159.319,82.72,69,20,5.99
1,Albany,US,2021-10-06 00:22:13,42.6001,-73.9662,60.39,95,100,0.67
2,Xuanhua,CN,2021-10-06 00:22:14,40.6103,115.0447,46.51,94,100,6.42
3,Pemangkat,ID,2021-10-06 00:22:14,1.1667,108.9667,79.84,84,100,8.75
4,Itoman,JP,2021-10-06 00:22:15,26.1247,127.6694,82.78,89,75,10.36
5,Marana,US,2021-10-06 00:19:53,32.4367,-111.2254,89.35,41,40,11.5
6,Punta Arenas,CL,2021-10-06 00:21:29,-53.15,-70.9167,41.11,65,0,8.05
7,Hilo,US,2021-10-06 00:16:44,19.7297,-155.09,82.13,73,20,11.5
8,Cabo San Lucas,MX,2021-10-06 00:20:07,22.8909,-109.9124,92.61,62,1,13.8
9,Lebu,CL,2021-10-06 00:21:39,-37.6167,-73.65,48.02,65,0,20.92
10,Mataura,NZ,2021-10-06 00:21:47,-46.1927,168.8643,66.47,57,99,5.77
11,Yellowknife,CA,2021-10-06 00:21:46,62.456,-114.3525,41.41,100,75,1.01
12,Chokurdakh,RU,2021-10-06 00:21:58,70.6333,147.9167,23.18,90,100,11.81
13,Asau,RO,2021-10-06 00:22:16,46.4333,26.4,40.75,71,0,0.2
14,Butaritari,KI,2021-10-06 00:22:17,3.0707,172.7902,81.86,70,23,13.06
15,Ostrovnoy,RU,2021-10-06 00:22:17,68.0531,39.5131,48.61,85,99,28.61
16,Alofi,NU,2021-10-06 00:22:17,-19.0595,-169.9187,80.49,74,75,11.5
17,Galle,LK,2021-10-06 00:17:18,6.0367,80.217,79.16,82,100,11.05
18,Kodiak,US,2021-10-06 00:21:18,57.79,-152.4072,49.51,81,90,5.75
19,Zyryanovsk,KZ,2021-10-06 00:22:18,49.7386,84.2719,35.78,100,100,4.68
20,Sturgis,US,2021-10-06 00:22:18,41.7992,-85.4192,67.89,57,40,5.75
21,Fortuna,US,2021-10-06 00:22:19,40.5982,-124.1573,68.47,69,90,1.99
22,Jamestown,US,2021-10-06 00:20:54,42.097,-79.2353,65.08,93,90,1.99
23,Atuona,PF,2021-10-06 00:21:37,-9.8,-139.0333,78.35,76,64,20.11
24,Mikhaylovka,RU,2021-10-06 00:22:20,50.06,43.2379,36.75,56,0,9.75
25,Grindavik,IS,2021-10-06 00:22:20,63.8424,-22.4338,42.75,81,75,9.22
26,Cuamba,MZ,2021-10-06 00:22:20,-14.8031,36.5372,71.28,60,11,2.28
27,Kirensk,RU,2021-10-06 00:22:21,57.7853,108.1119,29.91,88,99,2.19
28,Bonfim,BR,2021-10-06 00:21:32,3.0833,-59.95,84.18,56,88,7.96
29,Tasiilaq,GL,2021-10-06 00:22:21,65.6145,-37.6368,33.96,75,14,7.63
30,Rocha,UY,2021-10-06 00:22:22,-34.4833,-54.3333,53.31,75,0,6.51
31,Hobyo,SO,2021-10-06 00:22:22,5.3505,48.5268,78.35,86,12,19.26
32,Manta,EC,2021-10-06 00:22:22,-0.95,-80.7333,74.98,78,40,6.91
33,Neuquen,AR,2021-10-06 00:22:23,-38.9516,-68.0591,51.69,43,75,12.66
34,Georgetown,MY,2021-10-06 00:21:28,5.4112,100.3354,78.73,92,40,0.0
35,Blagoyevo,RU,2021-10-06 00:21:14,63.3667,47.9167,39.52,88,65,8.01
36,Lensk,RU,2021-10-06 00:22:23,60.7253,114.9278,33.19,92,100,7.49
37,Ponta Do Sol,PT,2021-10-06 00:22:24,32.6667,-17.1,73.0,75,100,5.23
38,Salta,AR,2021-10-06 00:22:24,-24.7859,-65.4117,64.99,48,0,6.91
39,Rikitea,PF,2021-10-06 00:21:25,-23.1203,-134.9692,73.74,79,39,19.06
40,Arraial Do Cabo,BR,2021-10-06 00:21:41,-22.9661,-42.0278,70.18,90,100,16.13
41,Tiksi,RU,2021-10-06 00:22:25,71.6872,128.8694,27.57,94,100,4.43
42,Bredasdorp,ZA,2021-10-06 00:21:31,-34.5322,20.0403,57.27,88,11,4.61
43,Ushuaia,AR,2021-10-06 00:21:32,-54.8,-68.3,40.66,60,0,9.22
44,Nanortalik,GL,2021-10-06 00:22:25,60.1432,-45.2371,37.71,68,0,6.53
45,Vaini,TO,2021-10-06 00:21:24,-21.2,-175.2,80.76,78,40,9.22
46,Assiniboia,CA,2021-10-06 00:22:26,49.6334,-105.9845,78.62,13,15,5.75
47,Bengkulu,ID,2021-10-06 00:21:49,-3.8004,102.2655,75.16,88,100,2.73
48,Obihiro,JP,2021-10-06 00:22:27,42.9172,143.2044,53.01,85,94,1.86
49,Piet Retief,ZA,2021-10-06 00:22:27,-27.0071,30.8132,56.32,85,70,0.69
50,Hithadhoo,MV,2021-10-06 00:22:27,-0.6,73.0833,83.07,75,87,15.5
51,Victoria,HK,2021-10-06 00:19:26,22.2855,114.1577,85.32,67,4,1.01
52,Busselton,AU,2021-10-06 00:21:28,-33.65,115.3333,48.04,65,27,3.87
53,Gushikawa,JP,2021-10-06 00:22:28,26.3544,127.8686,81.99,83,40,16.11
54,Port Lincoln,AU,2021-10-06 00:22:28,-34.7333,135.8667,64.96,41,87,5.82
55,Saint George,US,2021-10-06 00:22:29,37.1041,-113.5841,72.07,77,40,12.66
56,Vanimo,PG,2021-10-06 00:22:29,-2.6741,141.3028,83.46,76,95,4.12
57,Souillac,MU,2021-10-06 00:22:30,-20.5167,57.5167,70.36,94,20,5.75
58,Boleslawiec,PL,2021-10-06 00:22:30,51.2642,15.5697,61.16,92,100,4.7
59,Hobart,AU,2021-10-06 00:21:25,-42.8794,147.3294,61.05,49,20,5.01
60,Tuktoyaktuk,CA,2021-10-06 00:21:24,69.4541,-133.0374,33.8,75,20,12.66
61,Ginda,IN,2021-10-06 00:22:31,30.6945,78.4932,57.15,60,0,6.15
62,Hermanus,ZA,2021-10-06 00:21:35,-34.4187,19.2345,57.9,92,10,10.65
63,Newcastle,AU,2021-10-06 00:17:31,-32.9272,151.7765,74.91,35,0,1.99
64,Castro,BR,2021-10-06 00:21:42,-24.7911,-50.0119,57.61,95,92,8.57
65,Ponta Delgada,PT,2021-10-06 00:22:31,37.7333,-25.6667,75.51,94,40,8.05
66,Lahat,ID,2021-10-06 00:22:32,-3.8,103.5333,72.46,87,99,1.77
67,Barrow,US,2021-10-06 00:21:27,71.2906,-156.7887,23.02,86,90,10.36
68,Natal,BR,2021-10-06 00:22:32,-5.795,-35.2094,79.45,83,0,12.66
69,West Bay,KY,2021-10-06 00:22:33,19.3667,-81.4167,83.07,82,20,1.99
70,Labrea,BR,2021-10-06 00:22:33,-7.2586,-64.7981,74.17,98,94,3.44
